Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,571844,-,-,-,21.13,-101.66,-6,1825,-6,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,3.0.6
Year,Month,Day,Hour,Minute,DHI,DNI,GHI,Clearsky DHI,Clearsky DNI,Clearsky GHI,Cloud Type,Dew Point,Solar Zenith Angle,Surface Albedo,Wind Speed,Precipitable Water,Wind Direction,Relative Humidity,Temperature,Pressure,
2008,1,1,0,0,0,0,0,0,0,0,1,0,168.3,0.165,1.9000000000000001,0.512,74,64.68,7,820,N/A
2008,1,1,0,30,0,0,0,0,0,0,0,0,175.01,0.165,1.9000000000000001,0.509,74,64.68,7,820,N/A
2008,1,1,1,0,0,0,0,0,0,0,0,0,176.96,0.165,1.9000000000000001,0.507,76.60000000000001,65.07000000000001,7,820,N/A
2008,1,1,1,30,0,0,0,0,0,0,3,0,170.51,0.165,1.9000000000000001,0.502,76.60000000000001,69.73,6,820,N/A
2008,1,1,2,0,0,0,0,0,0,0,7,0,163.65,0.165,1.9000000000000001,0.497,77.60000000000001,70.2,6,820,N/A
2008,1,1,2,30,0,0,0,0,0,0,7,0,156.75,0.165,2,0.488,77.60000000000001,70.19,6,820,N/A
2008,1,1,3,0,0,0,0,0,0,0,7,0,149.86,0.165,2.1,0.47900000000000004,77.10000000000001,70.60000000000001,6,820,N/A
2008,1,1,3,30,0,0,0,0,0,0,7,0,142.97,0.165,2.2,0.47000000000000003,77.10000000000001,70.60000000000001,6,820,N/A
2008,1,1,4,0,0,0,0,0,0,0,7,0,136.11,0.165,2.4000000000000004,0.462,76.60000000000001,71.29,6,820,N/A
2008,1,1,4,30,0,0,0,0,0,0,7,0,129.28,0.165,2.7,0.463,76.60000000000001,71.31,6,820,N/A
2008,1,1,5,0,0,0,0,0,0,0,7,0,122.49000000000001,0.165,3,0.464,76.2,68.41,7,820,N/A
2008,1,1,5,30,0,0,0,0,0,0,1,0,115.74000000000001,0.165,3.4000000000000004,0.485,76.2,68.43,7,820,N/A
2008,1,1,6,0,0,0,0,0,0,0,0,1,109.06,0.165,3.9000000000000004,0.507,75.3,74.49,7,820,N/A
2008,1,1,6,30,0,0,0,0,0,0,0,1,102.45,0.165,4.4,0.555,75.3,74.53,7,820,N/A
2008,1,1,7,0,0,0,0,0,0,0,0,3,95.93,0.165,4.9,0.604,74.5,85.76,7,820,N/A
2008,1,1,7,30,0,0,0,0,0,0,3,3,89.53,0.165,5.2,0.665,74.5,80.11,8,820,N/A
2008,1,1,8,0,39,260,69,35,500,93,3,6,83.26,0.165,5.6000000000000005,0.726,75.4,87.39,9,820,N/A
2008,1,1,8,30,75,355,154,51,692,204,3,6,77.18,0.165,6.4,0.774,75.4,81.72,10,820,N/A
2008,1,1,9,0,123,333,229,64,786,316,3,7,71.32000000000001,0.165,7.2,0.8220000000000001,82.30000000000001,79.83,12,820,N/A
2008,1,1,9,30,73,856,425,73,856,425,1,7,65.74,0.165,7.800000000000001,0.867,82.30000000000001,74.74,13,820,N/A
2008,1,1,10,0,79,905,524,79,905,524,3,7,60.53,0.165,8.5,0.912,87.80000000000001,66.14,15,820,N/A
2008,1,1,10,30,83,937,611,83,937,611,3,7,55.78,0.165,8.700000000000001,0.96,87.80000000000001,62,16,820,N/A
2008,1,1,11,0,85,964,684,85,964,684,1,7,51.64,0.165,8.9,1.008,89.9,56.27,17,820,N/A
2008,1,1,11,30,88,978,739,88,978,739,3,7,48.25,0.165,8.8,1.07,89.9,52.79,18,820,N/A
2008,1,1,12,0,89,987,778,89,987,778,1,7,45.79,0.165,8.8,1.1320000000000001,90.4,49.04,19,820,N/A
2008,1,1,12,30,299,494,652,90,990,798,3,7,44.4,0.165,8.6,1.2,90.4,49.01,19,820,N/A
2008,1,1,13,0,90,988,799,90,988,799,1,7,44.2,0.165,8.5,1.2690000000000001,90.30000000000001,49.660000000000004,19,820,N/A
2008,1,1,13,30,90,982,782,90,982,782,0,7,45.19,0.165,8.4,1.322,90.30000000000001,49.65,19,820,N/A
2008,1,1,14,0,89,969,747,89,969,747,0,7,47.300000000000004,0.165,8.4,1.375,89.4,49.88,19,820,N/A
2008,1,1,14,30,87,954,695,87,954,695,0,7,50.39,0.165,8.4,1.3940000000000001,89.4,53.120000000000005,18,820,N/A
2008,1,1,15,0,85,927,626,85,927,626,1,7,54.29,0.165,8.5,1.413,87.2,52.230000000000004,18,820,N/A
2008,1,1,15,30,81,896,544,81,896,544,7,7,58.85,0.165,8.5,1.407,87.2,55.660000000000004,17,820,N/A
2008,1,1,16,0,73,857,450,73,857,450,0,6,63.910000000000004,0.165,8.5,1.4020000000000001,83.7,57.4,16,820,N/A
2008,1,1,16,30,66,794,346,66,794,346,0,6,69.37,0.165,8.3,1.391,83.7,65.35,14,820,N/A
2008,1,1,17,0,54,709,236,54,709,236,0,5,75.15,0.165,8.1,1.3800000000000001,79.2,65.98,13,820,N/A
2008,1,1,17,30,40,551,125,40,551,125,0,5,81.16,0.165,7.800000000000001,1.37,79.2,75.36,11,820,N/A
2008,1,1,18,0,18,261,30,18,261,30,0,4,87.37,0.165,7.5,1.361,74.60000000000001,78.91,9,820,N/A
2008,1,1,18,30,0,0,0,0,0,0,0,4,93.73,0.165,7.4,1.345,74.60000000000001,84.51,8,820,N/A
2008,1,1,19,0,0,0,0,0,0,0,0,3,100.21000000000001,0.165,7.300000000000001,1.33,72.7,82.29,7,820,N/A
2008,1,1,19,30,0,0,0,0,0,0,0,3,106.8,0.165,7.300000000000001,1.306,72.7,88.22,6,820,N/A
2008,1,1,20,0,0,0,0,0,0,0,0,2,113.46000000000001,0.165,7.300000000000001,1.283,73.8,82.57000000000001,6,820,N/A
2008,1,1,20,30,0,0,0,0,0,0,1,2,120.18,0.165,7.300000000000001,1.26,73.8,88.57000000000001,5,820,N/A
2008,1,1,21,0,0,0,0,0,0,0,1,1,126.96000000000001,0.165,7.4,1.237,75.8,83.37,5,820,N/A
2008,1,1,21,30,0,0,0,0,0,0,0,1,133.78,0.165,7.300000000000001,1.221,75.8,89.46000000000001,4,820,N/A
2008,1,1,22,0,0,0,0,0,0,0,0,0,140.64000000000001,0.165,7.300000000000001,1.206,78.30000000000001,83.55,4,820,N/A
2008,1,1,22,30,0,0,0,0,0,0,0,0,147.51,0.165,7.1000000000000005,1.194,78.30000000000001,89.68,3,820,N/A
2008,1,1,23,0,0,0,0,0,0,0,0,0,154.41,0.165,7,1.183,79.30000000000001,84.27,3,820,N/A
2008,1,1,23,30,0,0,0,0,0,0,0,0,161.31,0.165,6.9,1.172,79.30000000000001,90.52,2,820,N/A
2008,1,2,0,0,0,0,0,0,0,0,0,-1,168.20000000000002,0.165,6.9,1.161,79.30000000000001,86.48,2,820,N/A
2008,1,2,0,30,0,0,0,0,0,0,0,-1,174.94,0.165,6.800000000000001,1.151,79.30000000000001,86.47,2,820,N/A
2008,1,2,1,0,0,0,0,0,0,0,0,-1,177.1,0.165,6.800000000000001,1.1420000000000001,79.2,84.12,2,820,N/A
2008,1,2,1,30,0,0,0,0,0,0,0,-1,170.63,0.165,6.800000000000001,1.1320000000000001,79.2,90.39,1,820,N/A
2008,1,2,2,0,0,0,0,0,0,0,0,-1,163.76,0.165,6.800000000000001,1.123,79.10000000000001,88.45,1,820,N/A
2008,1,2,2,30,0,0,0,0,0,0,0,-1,156.86,0.165,6.7,1.117,79.10000000000001,88.43,1,820,N/A
2008,1,2,3,0,0,0,0,0,0,0,0,-1,149.96,0.165,6.7,1.111,79.2,86.49,1,820,N/A
2008,1,2,3,30,0,0,0,0,0,0,0,-1,143.07,0.165,6.6000000000000005,1.108,79.2,86.48,0,820,N/A
2008,1,2,4,0,0,0,0,0,0,0,0,-2,136.21,0.165,6.6000000000000005,1.105,79.7,84.45,0,820,N/A
2008,1,2,4,30,0,0,0,0,0,0,0,-2,129.37,0.165,6.6000000000000005,1.101,79.7,84.46000000000001,0,820,N/A
2008,1,2,5,0,0,0,0,0,0,0,0,-2,122.58,0.165,6.6000000000000005,1.098,80.10000000000001,82.27,0,820,N/A
2008,1,2,5,30,0,0,0,0,0,0,0,-2,115.83,0.165,6.6000000000000005,1.097,80.10000000000001,82.28,0,820,N/A
2008,1,2,6,0,0,0,0,0,0,0,0,-2,109.14,0.165,6.6000000000000005,1.096,79.9,80.34,0,820,N/A
2008,1,2,6,30,0,0,0,0,0,0,0,-2,102.53,0.165,6.6000000000000005,1.098,79.9,80.36,0,820,N/A
2008,1,2,7,0,0,0,0,0,0,0,0,-3,96.01,0.165,6.7,1.101,79,79.06,0,820,N/A
2008,1,2,7,30,0,0,0,0,0,0,0,-3,89.59,0.165,7.2,1.105,79,79.08,0,820,N/A
2008,1,2,8,0,36,455,88,36,455,88,1,-3,83.32000000000001,0.165,7.7,1.11,79.7,80.08,1,820,N/A
2008,1,2,8,30,53,651,197,53,651,197,0,-3,77.23,0.165,8.1,1.117,79.7,74.52,2,820,N/A
2008,1,2,9,0,64,770,310,64,770,310,0,-2,71.36,0.165,8.5,1.124,81.2,67.77,4,820,N/A
2008,1,2,9,30,72,843,418,72,843,418,0,-2,65.77,0.165,8.6,1.1340000000000001,81.2,63.17,5,820,N/A
2008,1,2,10,0,78,894,518,78,894,518,0,-1,60.550000000000004,0.165,8.8,1.1440000000000001,81.10000000000001,57.5,7,820,N/A
2008,1,2,10,30,83,928,605,83,928,605,0,-1,55.79,0.165,8.8,1.157,81.10000000000001,53.67,8,820,N/A
2008,1,2,11,0,87,952,678,87,952,678,0,-1,51.63,0.165,8.8,1.17,80.7,51.96,9,820,N/A
2008,1,2,11,30,90,968,736,90,968,736,1,-1,48.22,0.165,8.700000000000001,1.185,80.7,48.54,10,820,N/A
2008,1,2,12,0,103,957,771,103,957,771,3,0,45.74,0.165,8.700000000000001,1.201,80.30000000000001,46.6,11,820,N/A
2008,1,2,12,30,274,590,697,104,962,793,3,0,44.33,0.165,8.6,1.217,80.30000000000001,46.58,11,820,N/A
2008,1,2,13,0,109,953,794,109,953,794,1,0,44.1,0.165,8.5,1.233,80,44.34,12,820,N/A
2008,1,2,13,30,108,948,778,108,948,778,0,0,45.08,0.165,8.4,1.247,80,44.33,12,820,N/A
2008,1,2,14,0,284,471,604,110,931,743,3,0,47.18,0.165,8.3,1.2610000000000001,79.30000000000001,44.550000000000004,12,820,N/A
2008,1,2,14,30,255,489,568,107,914,692,3,0,50.26,0.165,8.1,1.2670000000000001,79.30000000000001,47.61,12,820,N/A
2008,1,2,15,0,255,402,491,100,896,625,3,0,54.160000000000004,0.165,8,1.2730000000000001,77.9,47.09,12,820,N/A
2008,1,2,15,30,227,356,412,95,862,543,3,0,58.71,0.165,7.800000000000001,1.2710000000000001,77.9,50.36,11,820,N/A
2008,1,2,16,0,178,382,347,88,813,448,3,-1,63.77,0.165,7.7,1.27,76.60000000000001,49.38,10,820,N/A
2008,1,2,16,30,130,403,273,79,744,343,3,-1,69.23,0.165,7.4,1.2670000000000001,76.60000000000001,52.84,9,820,N/A
2008,1,2,17,0,92,349,182,67,639,232,3,-1,75.01,0.165,7.1000000000000005,1.264,75.3,55.120000000000005,8,820,N/A
2008,1,2,17,30,60,231,96,49,472,123,3,-1,81.03,0.165,6.5,1.262,75.3,63.300000000000004,6,820,N/A
2008,1,2,18,0,23,0,23,21,179,30,4,-1,87.24,0.165,6,1.26,72.60000000000001,66.24,5,820,N/A
2008,1,2,18,30,0,0,0,0,0,0,3,-1,93.60000000000001,0.165,5.9,1.26,72.60000000000001,71.10000000000001,4,820,N/A
2008,1,2,19,0,0,0,0,0,0,0,4,-2,100.08,0.165,5.9,1.26,70.3,74.44,3,820,N/A
2008,1,2,19,30,0,0,0,0,0,0,4,-2,106.67,0.165,5.9,1.262,70.3,79.98,2,820,N/A
2008,1,2,20,0,0,0,0,0,0,0,4,-2,113.33,0.165,5.9,1.2650000000000001,70,78.18,2,820,N/A
2008,1,2,20,30,0,0,0,0,0,0,4,-2,120.06,0.165,5.9,1.264,70,84.04,2,820,N/A
2008,1,2,21,0,0,0,0,0,0,0,3,-2,126.84,0.165,5.9,1.264,72.10000000000001,82.57000000000001,2,820,N/A
2008,1,2,21,30,0,0,0,0,0,0,0,-2,133.66,0.165,5.9,1.256,72.10000000000001,82.56,1,820,N/A
2008,1,2,22,0,0,0,0,0,0,0,0,-2,140.52,0.165,6,1.248,74.4,81.14,1,820,N/A
2008,1,2,22,30,0,0,0,0,0,0,0,-2,147.4,0.165,6,1.234,74.4,81.12,0,820,N/A
2008,1,2,23,0,0,0,0,0,0,0,0,-3,154.3,0.165,6,1.22,76.9,79.92,0,820,N/A
2008,1,2,23,30,0,0,0,0,0,0,0,-3,161.21,0.165,6,1.204,76.9,79.89,0,820,N/A
2008,1,3,0,0,0,0,0,0,0,0,0,-3,168.1,0.165,6,1.189,79.10000000000001,79.13,0,820,N/A
2008,1,3,0,30,0,0,0,0,0,0,0,-3,174.87,0.165,5.800000000000001,1.176,79.10000000000001,79.10000000000001,0,820,N/A
2008,1,3,1,0,0,0,0,0,0,0,0,-3,177.24,0.165,5.7,1.164,79.9,84.48,0,820,N/A
2008,1,3,1,30,0,0,0,0,0,0,0,-3,170.75,0.165,5.6000000000000005,1.154,79.9,84.44,0,820,N/A
2008,1,3,2,0,0,0,0,0,0,0,0,-3,163.87,0.165,5.5,1.145,79.60000000000001,83.91,0,820,N/A
2008,1,3,2,30,0,0,0,0,0,0,0,-3,156.97,0.165,5.300000000000001,1.1380000000000001,79.60000000000001,83.88,0,820,N/A
2008,1,3,3,0,0,0,0,0,0,0,0,-3,150.06,0.165,5.2,1.131,78.2,83.47,0,820,N/A
2008,1,3,3,30,0,0,0,0,0,0,0,-3,143.17000000000002,0.165,5.1000000000000005,1.123,78.2,83.45,0,820,N/A
2008,1,3,4,0,0,0,0,0,0,0,0,-3,136.3,0.165,5,1.115,75.5,83.09,0,820,N/A
2008,1,3,4,30,0,0,0,0,0,0,0,-3,129.46,0.165,5,1.105,75.5,83.08,0,820,N/A
2008,1,3,5,0,0,0,0,0,0,0,0,-3,122.67,0.165,5,1.095,74.7,82.74,0,820,N/A
2008,1,3,5,30,0,0,0,0,0,0,0,-3,115.91,0.165,5,1.084,74.7,82.75,0,820,N/A
2008,1,3,6,0,0,0,0,0,0,0,0,-3,109.22,0.165,5,1.073,75.2,88.74,-1,820,N/A
2008,1,3,6,30,0,0,0,0,0,0,0,-3,102.60000000000001,0.165,5,1.063,75.2,88.76,0,820,N/A
2008,1,3,7,0,0,0,0,0,0,0,0,-3,96.07000000000001,0.165,5.1000000000000005,1.054,75.5,88.53,0,820,N/A
2008,1,3,7,30,0,0,0,0,0,0,0,-3,89.65,0.165,5.5,1.046,75.5,82.28,0,820,N/A
2008,1,3,8,0,36,455,88,36,455,88,1,-3,83.38,0.165,5.9,1.039,77.9,78.83,1,820,N/A
2008,1,3,8,30,53,653,197,53,653,197,0,-3,77.28,0.165,5.9,1.03,77.9,68.29,3,820,N/A
2008,1,3,9,0,62,785,312,62,785,312,0,-2,71.4,0.165,6,1.022,81.4,63.28,5,820,N/A
2008,1,3,9,30,70,857,421,70,857,421,0,-2,65.8,0.165,5.9,1.01,81.4,59,6,820,N/A
2008,1,3,10,0,73,915,523,73,915,523,0,-1,60.56,0.165,5.800000000000001,1,83,55.21,8,820,N/A
2008,1,3,10,30,78,949,612,78,949,612,0,-1,55.79,0.165,5.6000000000000005,0.992,83,48.19,10,820,N/A
2008,1,3,11,0,80,977,687,80,977,687,0,0,51.61,0.165,5.4,0.983,83.7,44.88,12,820,N/A
2008,1,3,11,30,82,994,745,82,994,745,0,0,48.18,0.165,5.2,0.978,83.7,41.99,13,820,N/A
2008,1,3,12,0,83,1006,786,83,1006,786,0,0,45.68,0.165,5,0.974,83.80000000000001,41.57,14,820,N/A
2008,1,3,12,30,84,1012,809,84,1012,809,0,0,44.25,0.165,4.7,0.972,83.80000000000001,38.94,15,820,N/A
